feature,importance
FPocket_Amino Acid based volume Score,33
FPocket_Mean alpha-sphere Solvent Acc.,31
FPocket_Pocket Score,29
Pockets_nres,24
FPocket_Number of alpha spheres,19
FPocket_Polarity Score,19
FPocket_Mean alpha-sphere radius,15
FPocket_Number of apolar alpha sphere,14
FPocket_Mean B-factor of pocket residues,11
FPocket_Pocket volume (convex hull),11
FPocket_Hydrophobicity Score,10
FPocket_Flexibility,9
FPocket_Alpha sphere density,9
FPocket_Drug Score,8
FPocket_Polar SASA,8
FPocket_Proportion of polar atoms,6
FPocket_Charge Score,6
FPocket_Pocket volume (Monte Carlo),5
FPocket_Proportion of apolar alpha sphere,5
FPocket_Local hydrophobic density Score,5
FPocket_Cent. of mass - Alpha Sphere max dist,5
FPocket_Total SASA,3
FPocket_Apolar SASA,1
